
-----------------------> 2021-12-08 12:14:28 begin <----------------------------
1638965694.2057130663 fail  match: Tadhg has 2 matches
1638965694.2057130663 fail  match: Tim has 0 matches
1638965694.200951027 fail  match: Tadhg has 2 matches
1638965694.200951027 fail  match: Tim has 0 matches
1638965695.2633623923 fail  match: Tadhg has 2 matches
1638965695.2633623923 fail  match: Tim has 0 matches
1638965696.155333627 fail  match: Tadhg has 2 matches
1638965696.155333627 fail  match: Tim has 0 matches
1638965696.1189132049 fail  match: Tadhg has 2 matches
1638965696.1189132049 fail  match: Tim has 0 matches
1638965697.399122942 fail  match: Tadhg has 2 matches
1638965697.399122942 fail  match: Tim has 0 matches
------------------------> 2021-12-08 12:14:57 end <-----------------------------
--> 2021-12-08 12:33:26 -bash end <--
